id,categoria,tipo,etiqueta,clasificacion_esperada,mensaje
CP-01-01,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,Quiero contratar el servicio ya mismo. Cuando podemos empezar?
CP-01-02,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,Necesito urgente automatizar los procesos de mi empresa. Llamame hoy.
CP-01-03,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,Estoy listo para comprar. Me pueden enviar el contrato?
CP-01-04,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,"Tengo el presupuesto aprobado, quiero implementar esta semana."
CP-01-05,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,URGENTE: necesito el servicio de automatizacion para manana.
CP-01-06,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,"Ya decidi, quiero el plan completo. Como pago?"
CP-01-07,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,"Vengo de una recomendacion, quiero contratar ahora mismo."
CP-01-08,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,Necesito comenzar el proyecto esta semana. Tengo todo listo.
CP-01-09,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,"Presupuesto aprobado, equipo listo. Empezamos el lunes?"
CP-01-10,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,Quiero comprar el servicio premium. Me pasan los datos de facturacion?
CP-01-11,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,Estoy listo para firmar contrato hoy. Envienme la propuesta.
CP-01-12,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,"Necesito implementar urgente, mi empresa esta perdiendo plata sin esto."
CP-01-13,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,Ya tome la decision. Cuando pueden empezar con la implementacion?
CP-01-14,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,Transferencia lista. Necesito factura para hoy mismo.
CP-01-15,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,"Tengo reunion de directorio manana, necesito presupuesto YA."
CP-01-16,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,"Quiero el plan enterprise. Sin demo, directo a contratacion."
CP-01-17,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,Aprobamos el proyecto internamente. Arrancamos la semana que viene.
CP-01-18,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,Cerremos el trato hoy. Cual es el proximo paso?
CP-01-19,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,Presupuesto de USD 50k aprobado. Cuando nos reunimos?
CP-01-20,CP-01,compra_inmediata,Compra inmediata,compra_inmediata,"Llamame urgente al 2615550101, quiero contratar el servicio completo."
CP-02-01,CP-02,solicita_info,Solicita informacion,solicita_info,Me interesa conocer mas sobre sus servicios de automatizacion.
CP-02-02,CP-02,solicita_info,Solicita informacion,solicita_info,"Hola, podrian enviarme informacion y precios?"
CP-02-03,CP-02,solicita_info,Solicita informacion,solicita_info,Estoy evaluando opciones para digitalizar mi PyME. Tienen demo?
CP-02-04,CP-02,solicita_info,Solicita informacion,solicita_info,Quisiera saber mas sobre como funciona n8n para mi negocio.
CP-02-05,CP-02,solicita_info,Solicita informacion,solicita_info,Que servicios ofrecen para pequenas empresas?
CP-02-06,CP-02,solicita_info,Solicita informacion,solicita_info,Me gustaria recibir una cotizacion para mi proyecto.
CP-02-07,CP-02,solicita_info,Solicita informacion,solicita_info,"Estoy investigando soluciones de automatizacion, me pueden asesorar?"
CP-02-08,CP-02,solicita_info,Solicita informacion,solicita_info,Tienen algun plan para startups? Me interesa saber mas.
CP-02-09,CP-02,solicita_info,Solicita informacion,solicita_info,Quisiera agendar una llamada para conocer sus servicios.
CP-02-10,CP-02,solicita_info,Solicita informacion,solicita_info,Podrian contarme mas sobre la integracion con IA que ofrecen?
CP-02-11,CP-02,solicita_info,Solicita informacion,solicita_info,Estoy buscando automatizar el area de ventas. Me ayudan?
CP-02-12,CP-02,solicita_info,Solicita informacion,solicita_info,Necesito informacion sobre sus planes y precios.
CP-02-13,CP-02,solicita_info,Solicita informacion,solicita_info,Me recomendaron sus servicios. Podemos coordinar una reunion?
CP-02-14,CP-02,solicita_info,Solicita informacion,solicita_info,Quiero modernizar los procesos de mi empresa. Por donde empiezo?
CP-02-15,CP-02,solicita_info,Solicita informacion,solicita_info,Estoy comparando proveedores. Me envian su propuesta?
CP-02-16,CP-02,solicita_info,Solicita informacion,solicita_info,Que diferencia tienen con otras consultoras de automatizacion?
CP-02-17,CP-02,solicita_info,Solicita informacion,solicita_info,Me interesa la parte de IA. Como funciona exactamente?
CP-02-18,CP-02,solicita_info,Solicita informacion,solicita_info,Podrian enviarme casos de exito de clientes similares?
CP-02-19,CP-02,solicita_info,Solicita informacion,solicita_info,Tienen implementaciones para el sector retail?
CP-02-20,CP-02,solicita_info,Solicita informacion,solicita_info,Cual es el tiempo estimado de implementacion?
CP-02-21,CP-02,solicita_info,Solicita informacion,solicita_info,Ofrecen soporte post-implementacion?
CP-02-22,CP-02,solicita_info,Solicita informacion,solicita_info,Me gustaria ver una demo del dashboard de leads.
CP-02-23,CP-02,solicita_info,Solicita informacion,solicita_info,Que requisitos tecnicos necesito para implementar esto?
